Board Size,Algorithm,Heuristic,Weight,Steps to Solution,Time Taken (s)
init.txt,a_star,heuristic_goal_vals,0.5,3,0.010031938552856445
mendes.txt,a_star,heuristic_goal_vals,0.5,7,2.2469170093536377
init.txt,a_star,heuristic_goal_vals,1,3,0.0027031898498535156
mendes.txt,a_star,heuristic_goal_vals,1,8,0.8306429386138916
init.txt,a_star,heuristic_goal_vals,1.5,3,0.0032432079315185547
mendes.txt,a_star,heuristic_goal_vals,1.5,8,0.31734371185302734
init.txt,a_star,heuristic_goal_vals,2,3,0.003870248794555664
mendes.txt,a_star,heuristic_goal_vals,2,8,0.3203599452972412
init.txt,a_star,heuristic_goal_vals,2.5,3,0.0027883052825927734
mendes.txt,a_star,heuristic_goal_vals,2.5,8,0.2993736267089844
init.txt,a_star,heuristic_goal_vals,3,3,0.0024280548095703125
mendes.txt,a_star,heuristic_goal_vals,3,8,0.2870490550994873
init.txt,a_star,heuristic_non_empty_jellies,0.5,3,0.004785060882568359
mendes.txt,a_star,heuristic_non_empty_jellies,0.5,6,11.046672582626343
init.txt,a_star,heuristic_non_empty_jellies,1,3,0.007674217224121094
mendes.txt,a_star,heuristic_non_empty_jellies,1,7,1.0431950092315674
init.txt,a_star,heuristic_non_empty_jellies,1.5,3,0.0028066635131835938
mendes.txt,a_star,heuristic_non_empty_jellies,1.5,7,3.0883073806762695
init.txt,a_star,heuristic_non_empty_jellies,2,3,0.002557992935180664
mendes.txt,a_star,heuristic_non_empty_jellies,2,8,0.49252986907958984
init.txt,a_star,heuristic_non_empty_jellies,2.5,3,0.002481698989868164
mendes.txt,a_star,heuristic_non_empty_jellies,2.5,8,0.1518542766571045
init.txt,a_star,heuristic_non_empty_jellies,3,3,0.002707242965698242
mendes.txt,a_star,heuristic_non_empty_jellies,3,8,0.28681445121765137
init.txt,bfs,,1,3,0.011837482452392578
mendes.txt,bfs,,1,NA,300
init.txt,dfs,,1,3,0.0017249584197998047
mendes.txt,dfs,,1,18,0.12047696113586426
init.txt,iterative_deepening,,1,3,0.007497072219848633
mendes.txt,iterative_deepening,,1,NA,300
